"FIPS","Yearn","rate"
51115,2022,135.2
51117,2022,156.8
51119,2022,126.3
51121,2022,126.0
51125,2022,132.0
51127,2022,147.8
51131,2022,142.0
51133,2022,120.2
51135,2022,173.3
51137,2022,163.9
51139,2022,160.7
51141,2022,152.3
51143,2022,147.8
51145,2022,114.7
51147,2022,159.7
51149,2022,131.8
51153,2022,122.3
51155,2022,133.2
51157,2022,90.7
51159,2022,152.1
51161,2022,132.1
51163,2022,125.9
51165,2022,132.6
51167,2022,165.8
51169,2022,155.3
51171,2022,155.0
51173,2022,183.0
51175,2022,135.5
51177,2022,138.8
51179,2022,133.4
51181,2022,113.9
51183,2022,177.9
51185,2022,171.8
51187,2022,159.4
51191,2022,151.8
51193,2022,146.9
51195,2022,194.5
51197,2022,153.2
51199,2022,115.8
51510,2022,108.1
51520,2022,144.1
51530,2022,139.6
51540,2022,123.1
51550,2022,156.3
51570,2022,183.2
51580,2022,169.0
51590,2022,190.0
51595,2022,131.7
51600,2022,209.7
51610,2022,126.7
51620,2022,187.2
51630,2022,128.8
51640,2022,239.4
51650,2022,163.8
51660,2022,128.7
51670,2022,194.0
51678,2022,138.7
51680,2022,169.7
51683,2022,123.5
51685,2022,54.1
51690,2022,214.4
51700,2022,168.1
51710,2022,170.6
51720,2022,179.1
51730,2022,230.8
51735,2022,136.2
51740,2022,175.2
51750,2022,145.5
51760,2022,137.2
51770,2022,175.4
51775,2022,163.6
51790,2022,157.7
51800,2022,156.0
51810,2022,140.2
51820,2022,192.1
51830,2022,114.0
51840,2022,139.0
51917,2022,147.2
51001,2023,155.7
51003,2023,108.7
51005,2023,136.1
51007,2023,147.1
51009,2023,145.6
51011,2023,130.2
51013,2023,99.8
51015,2023,132.9
51017,2023,141.6
51021,2023,121.7
51023,2023,136.0
51025,2023,161.0
51027,2023,175.1
51029,2023,156.0
51031,2023,140.3
51033,2023,140.7
51035,2023,139.0
51036,2023,118.5
51037,2023,156.0
51041,2023,139.2
51043,2023,128.7
51045,2023,145.9
51047,2023,142.1
51049,2023,152.1
51051,2023,166.4
51053,2023,158.2
51057,2023,144.3
51059,2023,100.1
51061,2023,139.0
51063,2023,130.8
51065,2023,122.3
51067,2023,137.4
51069,2023,149.5
51071,2023,162.4
51073,2023,158.6
51075,2023,116.4
51077,2023,149.0
51079,2023,110.8
51081,2023,193.1
51083,2023,171.1
51085,2023,144.0
51087,2023,143.0
51089,2023,157.1
51091,2023,87.0
51093,2023,152.5
51095,2023,115.8
51097,2023,149.0
51099,2023,139.8
51101,2023,146.6
51103,2023,154.4
51105,2023,181.6
51107,2023,105.1
51109,2023,141.2
51111,2023,148.0
51113,2023,131.5
51115,2023,134.2
51117,2023,157.8
51119,2023,133.6
51121,2023,128.4
51125,2023,143.4
51127,2023,159.9
51131,2023,122.8
51133,2023,124.7
51135,2023,174.7
51137,2023,165.7
51139,2023,157.0
51141,2023,168.5
51143,2023,151.7
51145,2023,114.6
51147,2023,168.8
51149,2023,135.4
51153,2023,121.7
51155,2023,139.1
51157,2023,94.3
51159,2023,141.4
51161,2023,128.0
51163,2023,126.0
51165,2023,135.4
51167,2023,167.4
51169,2023,163.1
51171,2023,162.2
51173,2023,186.4
51175,2023,140.4
51177,2023,135.2
51179,2023,135.8
51181,2023,130.2
51183,2023,175.4
51185,2023,170.4
51187,2023,162.5
51191,2023,157.4
51193,2023,136.2
51195,2023,205.2
51197,2023,159.5
51199,2023,113.3
51510,2023,108.6
51520,2023,160.9
51530,2023,128.3
51540,2023,125.4
51550,2023,153.5
51570,2023,182.2
51580,2023,153.5
51590,2023,206.4
51595,2023,137.4
51600,2023,219.5
51610,2023,143.4
51620,2023,208.3
51630,2023,143.9
51640,2023,227.2
51650,2023,158.8
51660,2023,124.4
51670,2023,193.5
51678,2023,108.9
51680,2023,170.2
51683,2023,135.6
51685,2023,54.3
51690,2023,215.1
51700,2023,166.2
51710,2023,171.6
51720,2023,180.4
51730,2023,220.0
51735,2023,135.1
51740,2023,177.0
51750,2023,136.0
51760,2023,139.4
51770,2023,178.0
51775,2023,162.8
51790,2023,163.2
51800,2023,150.4
51810,2023,141.5
51820,2023,174.4
51830,2023,122.7
51840,2023,138.3
51917,2023,145.6

